#Firmware: Speeduino 2022.04-dev
PriLevel,SecLevel,Trigger,Sync,RefTime,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms,ms
0.0,1.0,0.0,1.0,248253.33,3.94,248253.33
1.0,1.0,0.0,1.0,248253.97,0.632,248253.97
0.0,1.0,0.0,1.0,248254.47,0.504,248254.47
1.0,1.0,0.0,1.0,248255.1,0.632,248255.1
0.0,1.0,0.0,1.0,248255.61,0.508,248255.61
1.0,1.0,0.0,1.0,248256.22,0.612,248256.22
0.0,1.0,0.0,1.0,248256.7,0.488,248256.7
1.0,1.0,0.0,1.0,248257.34,0.636,248257.34
0.0,1.0,0.0,1.0,248257.86,0.516,248257.86
1.0,1.0,0.0,1.0,248258.47,0.604,248258.47
0.0,1.0,0.0,1.0,248258.97,0.508,248258.97
1.0,1.0,0.0,1.0,248259.58,0.608,248259.58
0.0,1.0,0.0,1.0,248260.1,0.512,248260.1
1.0,1.0,0.0,1.0,248260.7,0.608,248260.7
0.0,1.0,0.0,1.0,248261.2,0.496,248261.2
1.0,1.0,0.0,1.0,248261.81,0.616,248261.81
0.0,1.0,0.0,1.0,248262.31,0.5,248262.31
1.0,1.0,0.0,1.0,248262.92,0.616,248262.92
0.0,1.0,0.0,1.0,248263.42,0.492,248263.42
1.0,1.0,0.0,1.0,248264.03,0.612,248264.03
0.0,1.0,0.0,1.0,248264.52,0.476,248264.52
1.0,1.0,0.0,1.0,248265.14,0.64,248265.14
0.0,1.0,0.0,1.0,248265.62,0.48,248265.62
1.0,1.0,0.0,1.0,248266.25,0.616,248266.25
0.0,1.0,0.0,1.0,248266.73,0.492,248266.73
1.0,1.0,0.0,1.0,248267.38,0.632,248267.38
0.0,1.0,0.0,1.0,248267.86,0.488,248267.86
1.0,1.0,0.0,1.0,248268.45,0.604,248268.45
0.0,1.0,0.0,1.0,248268.95,0.492,248268.95
1.0,1.0,0.0,1.0,248269.58,0.624,248269.58
0.0,1.0,0.0,1.0,248270.06,0.492,248270.06
1.0,1.0,0.0,1.0,248270.67,0.604,248270.67
0.0,1.0,0.0,1.0,248271.17,0.496,248271.17
1.0,1.0,0.0,1.0,248271.78,0.612,248271.78
0.0,1.0,0.0,1.0,248272.27,0.48,248272.27
1.0,1.0,0.0,1.0,248272.89,0.628,248272.89
0.0,1.0,0.0,1.0,248273.38,0.48,248273.38
1.0,1.0,0.0,1.0,248273.98,0.624,248273.98
0.0,1.0,0.0,1.0,248274.47,0.48,248274.47
1.0,1.0,0.0,1.0,248275.08,0.612,248275.08
0.0,1.0,0.0,1.0,248275.58,0.488,248275.58
1.0,1.0,0.0,1.0,248276.2,0.628,248276.2
0.0,1.0,0.0,1.0,248276.7,0.508,248276.7
1.0,1.0,0.0,1.0,248277.31,0.608,248277.31
0.0,1.0,0.0,1.0,248277.81,0.504,248277.81
1.0,1.0,0.0,1.0,248278.44,0.616,248278.44
0.0,1.0,0.0,1.0,248278.92,0.492,248278.92
1.0,1.0,0.0,1.0,248279.55,0.62,248279.55
0.0,1.0,0.0,1.0,248280.06,0.52,248280.06
1.0,1.0,0.0,1.0,248280.69,0.612,248280.69
0.0,1.0,0.0,1.0,248281.19,0.504,248281.19
1.0,1.0,0.0,1.0,248281.81,0.624,248281.81
0.0,1.0,0.0,1.0,248282.3,0.496,248282.3
1.0,1.0,0.0,1.0,248282.92,0.616,248282.92
0.0,1.0,0.0,1.0,248283.4,0.488,248283.4
1.0,1.0,0.0,1.0,248284.03,0.628,248284.03
0.0,1.0,0.0,1.0,248284.53,0.5,248284.53
1.0,1.0,0.0,1.0,248285.16,0.628,248285.16
0.0,1.0,0.0,1.0,248285.66,0.488,248285.66
1.0,1.0,0.0,1.0,248286.28,0.632,248286.28
0.0,1.0,0.0,1.0,248288.72,2.436,248288.72
1.0,1.0,0.0,1.0,248289.6,0.872,248289.6
0.0,1.0,0.0,1.0,248290.06,0.476,248290.06
1.0,1.0,0.0,1.0,248290.67,0.608,248290.67
0.0,1.0,0.0,1.0,248291.17,0.492,248291.17
1.0,1.0,0.0,1.0,248291.78,0.608,248291.78
0.0,1.0,0.0,1.0,248292.25,0.48,248292.25
1.0,1.0,0.0,1.0,248292.86,0.608,248292.86
0.0,1.0,0.0,1.0,248293.34,0.48,248293.34
1.0,1.0,0.0,1.0,248293.94,0.592,248293.94
0.0,1.0,0.0,1.0,248294.42,0.492,248294.42
1.0,1.0,0.0,1.0,248295.03,0.608,248295.03
0.0,1.0,0.0,1.0,248295.52,0.48,248295.52
1.0,1.0,0.0,1.0,248296.11,0.592,248296.11
0.0,1.0,0.0,1.0,248296.58,0.476,248296.58
1.0,1.0,0.0,1.0,248297.19,0.608,248297.19
0.0,1.0,0.0,1.0,248297.69,0.492,248297.69
1.0,1.0,0.0,1.0,248298.28,0.596,248298.28
0.0,1.0,0.0,1.0,248298.75,0.472,248298.75
1.0,1.0,0.0,1.0,248299.33,0.58,248299.33
0.0,1.0,0.0,1.0,248299.84,0.504,248299.84
1.0,1.0,0.0,1.0,248300.44,0.604,248300.44
0.0,1.0,0.0,1.0,248300.92,0.476,248300.92
1.0,1.0,0.0,1.0,248301.52,0.592,248301.52
0.0,1.0,0.0,1.0,248301.98,0.48,248301.98
1.0,1.0,0.0,1.0,248302.6,0.604,248302.6
0.0,1.0,0.0,1.0,248303.08,0.488,248303.08
1.0,1.0,0.0,1.0,248303.66,0.584,248303.66
0.0,1.0,0.0,1.0,248304.16,0.488,248304.16
1.0,1.0,0.0,1.0,248304.75,0.6,248304.75
0.0,1.0,0.0,1.0,248305.22,0.464,248305.22
1.0,1.0,0.0,1.0,248305.81,0.6,248305.81
0.0,1.0,0.0,1.0,248306.28,0.472,248306.28
1.0,1.0,0.0,1.0,248306.89,0.6,248306.89
0.0,1.0,0.0,1.0,248307.36,0.468,248307.36
1.0,1.0,0.0,1.0,248307.97,0.616,248307.97
0.0,1.0,0.0,1.0,248308.45,0.476,248308.45
1.0,1.0,0.0,1.0,248309.03,0.588,248309.03
0.0,1.0,0.0,1.0,248309.53,0.488,248309.53
1.0,1.0,0.0,1.0,248310.11,0.588,248310.11
0.0,1.0,0.0,1.0,248310.61,0.5,248310.61
1.0,1.0,0.0,1.0,248311.22,0.6,248311.22
0.0,1.0,0.0,1.0,248311.69,0.472,248311.69
1.0,1.0,0.0,1.0,248312.28,0.6,248312.28
0.0,1.0,0.0,1.0,248312.77,0.488,248312.77
1.0,1.0,0.0,1.0,248313.39,0.62,248313.39
0.0,1.0,0.0,1.0,248313.86,0.464,248313.86
1.0,1.0,0.0,1.0,248314.47,0.612,248314.47
0.0,1.0,0.0,1.0,248314.95,0.492,248314.95
1.0,1.0,0.0,1.0,248315.56,0.608,248315.56
0.0,1.0,0.0,1.0,248316.05,0.472,248316.05
1.0,1.0,0.0,1.0,248316.64,0.608,248316.64
0.0,1.0,0.0,1.0,248317.12,0.484,248317.12
1.0,1.0,0.0,1.0,248317.75,0.612,248317.75
0.0,1.0,0.0,1.0,248318.22,0.472,248318.22
1.0,1.0,0.0,1.0,248318.81,0.592,248318.81
0.0,1.0,0.0,1.0,248319.3,0.484,248319.3
1.0,1.0,0.0,1.0,248319.89,0.596,248319.89
0.0,1.0,0.0,1.0,248320.39,0.496,248320.39
1.0,1.0,0.0,1.0,248320.97,0.588,248320.97
0.0,1.0,0.0,1.0,248321.47,0.504,248321.47
1.0,1.0,0.0,1.0,248322.06,0.588,248322.06
0.0,1.0,0.0,1.0,248322.56,0.496,248322.56
1.0,1.0,0.0,1.0,248323.16,0.6,248323.16
0.0,1.0,0.0,1.0,248323.64,0.488,248323.64
1.0,1.0,0.0,1.0,248324.25,0.6,248324.25
1.0,1.0,0.0,1.0,248491.25,167.008,248491.25
MARK 000
0.0,1.0,0.0,1.0,248492.88,1.62,248492.88
1.0,1.0,0.0,1.0,248493.48,0.616,248493.48
0.0,1.0,0.0,1.0,248494.0,0.504,248494.0
1.0,1.0,0.0,1.0,248494.61,0.616,248494.61
0.0,1.0,0.0,1.0,248495.1,0.488,248495.1
1.0,1.0,0.0,1.0,248495.73,0.636,248495.73
0.0,1.0,0.0,1.0,248496.22,0.484,248496.22
1.0,1.0,0.0,1.0,248496.84,0.62,248496.84
0.0,1.0,0.0,1.0,248497.34,0.5,248497.34
1.0,1.0,0.0,1.0,248497.97,0.624,248497.97
0.0,1.0,0.0,1.0,248498.47,0.504,248498.47
1.0,1.0,0.0,1.0,248499.06,0.592,248499.06
0.0,1.0,0.0,1.0,248499.6,0.532,248499.6
1.0,1.0,0.0,1.0,248500.2,0.608,248500.2
0.0,1.0,0.0,1.0,248500.7,0.504,248500.7
1.0,1.0,0.0,1.0,248501.33,0.628,248501.33
0.0,1.0,0.0,1.0,248501.81,0.484,248501.81
1.0,1.0,0.0,1.0,248502.44,0.624,248502.44
0.0,1.0,0.0,1.0,248502.94,0.504,248502.94
1.0,1.0,0.0,1.0,248503.56,0.62,248503.56
0.0,1.0,0.0,1.0,248504.06,0.5,248504.06
1.0,1.0,0.0,1.0,248504.69,0.616,248504.69
0.0,1.0,0.0,1.0,248505.19,0.508,248505.19
1.0,1.0,0.0,1.0,248505.81,0.632,248505.81
0.0,1.0,0.0,1.0,248506.3,0.484,248506.3
1.0,1.0,0.0,1.0,248506.95,0.644,248506.95
0.0,1.0,0.0,1.0,248507.45,0.5,248507.45
1.0,1.0,0.0,1.0,248508.08,0.632,248508.08
0.0,1.0,0.0,1.0,248508.58,0.492,248508.58
1.0,1.0,0.0,1.0,248509.2,0.636,248509.2
0.0,1.0,0.0,1.0,248509.7,0.496,248509.7
