#Firmware: Speeduino 2022.04-dev
ToothTime,Time
uS,uS
1020.0,1625000.0
1036.0,1626036.0
1048.0,1627084.0
1020.0,1628104.0
1036.0,1629140.0
1020.0,1630160.0
1032.0,1631192.0
1032.0,1632224.0
1032.0,1633256.0
1028.0,1634284.0
996.0,1635280.0
1028.0,1636308.0
1032.0,1637340.0
1012.0,1638352.0
1032.0,1639384.0
1020.0,1640404.0
1024.0,1641428.0
1012.0,1642440.0
1028.0,1643468.0
1020.0,1644488.0
1040.0,1645528.0
1020.0,1646548.0
1016.0,1647564.0
1032.0,1648596.0
1024.0,1649620.0
1028.0,1650648.0
1028.0,1651676.0
1040.0,1652716.0
1032.0,1653748.0
1020.0,1654768.0
1032.0,1655800.0
3100.0,1658900.0
1020.0,1659920.0
1024.0,1660944.0
1028.0,1661972.0
1052.0,1663024.0
1028.0,1664052.0
1028.0,1665080.0
1032.0,1666112.0
1028.0,1667140.0
1028.0,1668168.0
1036.0,1669204.0
1020.0,1670224.0
1040.0,1671264.0
1008.0,1672272.0
1052.0,1673324.0
1000.0,1674324.0
1048.0,1675372.0
1020.0,1676392.0
1028.0,1677420.0
1032.0,1678452.0
1040.0,1679492.0
1024.0,1680516.0
1028.0,1681544.0
1036.0,1682580.0
1044.0,1683624.0
1036.0,1684660.0
1040.0,1685700.0
1036.0,1686736.0
1020.0,1687756.0
1040.0,1688796.0
1028.0,1689824.0
1032.0,1690856.0
1028.0,1691884.0
1052.0,1692936.0
1028.0,1693964.0
1028.0,1694992.0
1052.0,1696044.0
1032.0,1697076.0
1028.0,1698104.0
1032.0,1699136.0
1028.0,1700164.0
1040.0,1701204.0
1032.0,1702236.0
1040.0,1703276.0
1000.0,1704276.0
1036.0,1705312.0
1048.0,1706360.0
1020.0,1707380.0
1040.0,1708420.0
1012.0,1709432.0
1028.0,1710460.0
1064.0,1711524.0
1028.0,1712552.0
1048.0,1713600.0
1036.0,1714636.0
1032.0,1715668.0
1040.0,1716708.0
1052.0,1717760.0
3108.0,1720868.0
1036.0,1721904.0
1060.0,1722964.0
1048.0,1724012.0
1048.0,1725060.0
1052.0,1726112.0
1060.0,1727172.0
1072.0,1728244.0
1060.0,1729304.0
1056.0,1730360.0
1064.0,1731424.0
1068.0,1732492.0
1044.0,1733536.0
1076.0,1734612.0
1064.0,1735676.0
1060.0,1736736.0
1084.0,1737820.0
1048.0,1738868.0
1076.0,1739944.0
1068.0,1741012.0
1084.0,1742096.0
1064.0,1743160.0
1088.0,1744248.0
1080.0,1745328.0
1080.0,1746408.0
1076.0,1747484.0
1076.0,1748560.0
1076.0,1749636.0
1076.0,1750712.0
1072.0,1751784.0
1072.0,1752856.0
1052.0,1753908.0
1088.0,1754996.0
1052.0,1756048.0
1068.0,1757116.0
1076.0,1758192.0
1036.0,1759228.0
1060.0,1760288.0
MARK 000
1044.0,1761332.0
1056.0,1762388.0
1052.0,1763440.0
1060.0,1764500.0
1048.0,1765548.0
1032.0,1766580.0
1064.0,1767644.0
1048.0,1768692.0
1040.0,1769732.0
1060.0,1770792.0
1056.0,1771848.0
1048.0,1772896.0
1048.0,1773944.0
1052.0,1774996.0
1048.0,1776044.0
1056.0,1777100.0
