//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 7-14-2021
//--  Time: 16:25
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 0 Ohms
//--    Temperature1: 5(C), 	Resistance 1: 134519 Ohms 
//--    Temperature2: 25(C), 	Resistance 2: 50000 Ohms 
//--    Temperature3: 65(C), 	Resistance 3: 9335 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	180.00	1800 	0.000
1	180.00	1800 	0.156
2	180.00	1800 	0.313
3	180.00	1800 	0.469
4	180.00	1800 	0.625
5	180.00	1800 	0.781
6	180.00	1800 	0.938
7	180.00	1800 	1.094
8	180.00	1800 	1.250
9	180.00	1800 	1.406
10	180.00	1800 	1.563
11	180.00	1800 	1.719
12	180.00	1800 	1.875
13	180.00	1800 	2.031
14	180.00	1800 	2.188
15	180.00	1800 	2.344
16	180.00	1800 	2.500
17	180.00	1800 	2.656
18	180.00	1800 	2.813
19	180.00	1800 	2.969
20	180.00	1800 	3.125
21	180.00	1800 	3.281
22	180.00	1800 	3.438
23	180.00	1800 	3.594
24	180.00	1800 	3.750
25	180.00	1800 	3.906
26	180.00	1800 	4.063
27	180.00	1800 	4.219
28	180.00	1800 	4.375
29	180.00	1800 	4.531
30	180.00	1800 	4.688
31	0.00	0 	4.844
